X,Object.ID,Is.Public.Domain,Department,AccessionYear,Object.Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist.Role,Artist.Prefix,Artist.Display.Name,Artist.Display.Bio,Artist.Suffix,Artist.Alpha.Sort,Artist.Nationality,Artist.Begin.Date,Artist.End.Date,Artist.Gender,Object.Date,Object.Begin.Date,Object.End.Date,Medium,Dimensions,Credit.Line,Geography.Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights.and.Reproduction
87074,117511,FALSE,Costume Institute,1978,Comb,Comb,American or European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920s,1920,1929,"cellulose nitrate, feathers",NA,"Gift of Fred Horstmann, in memory of Frances Horstmann, 1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20007,260158,FALSE,Photographs,1972,Photograph,Emanuel von Seidl,NA,NA,NA,NA,NA,Artist,NA,Frank Eugene,"American, New York 1865–1936 Munich",NA,"Eugene, Frank",American,1865,1936,NA,1900–1908,1900,1908,Platinum print,NA,"Rogers Fund, 1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs,NA
31538,573208,FALSE,Egyptian Art,1909,Votive bracelet,Fragment of a votive bracelet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 1295–1070 B.C.,-1295,-1295,Faience,L. 3.6 cm (1 7/16 in.),"Gift of Egypt Exploration Fund, 1909",From,NA,NA,NA,Egypt,Sinai,NA,NA,NA,NA,NA,NA,NA
64033,272236,FALSE,Photographs,1994,Negative,"[Two Children, Possibly Mabry Girls, and Dog on Snowbank in Front of House]",NA,NA,NA,NA,NA,Artist,NA,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",NA,"Evans, Walker",American,1903,1975,NA,1930s,1930,1939,Film negative,2 1/2 x 4 1/4 in.,"Walker Evans Archive, 1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negatives,"© Walker Evans Archive, The Metropolitan Museum of Art"
9542,346429,FALSE,Drawings and Prints,1971,Book,"The Book of Common Prayer, and Administration of the Sacraments and Other Rites and Ceremonies of the Church, According to the Use of the United Church of England and Ireland...",NA,NA,NA,NA,NA,Engraver|Artist|Publisher|Publisher|Publisher|Publisher|Engraver|Engraver|Printer,Sold by|Sold by|Prints published by,John Samuel Agar|Richard Westall|F. & C. Rivington|J. Mawman|J. Deighton|John Sharpe|Niccolò Schiavonetti|Anthony Cardon|John Raphael Smith,"British, ca. 1773–1858|British, Reepham, Norfolk 1765–1836 London|London|London|Cambridge|London|Italian, Bassano del Grappa ca. 1771–1813 London|British, Brussels 1772–1813 London|British, baptized Derby 1751–1812 Doncaster",NA,"Agar, John Samuel|Westall, Richard|Rivington, F. & C.|Mawman, J.|Deighton, J.|Sharpe, John|Schiavonetti, Niccolò|Cardon, Anthony|Smith, John Raphael",British|British|British|British|British|British|Italian|British|British,1773      |1765      |1750      |1800      |1800      |1800      |1770      |1772      |1751,1858      |1836      |1850      |1850      |1850      |1900      |1813      |1813      |1812,||||||||,1811,1811,1811,Illustrations: etching,13 3/16 x 10 1/4 x 1 15/16 in. (33.5 x 26 x 5 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Books,NA
77781,345641,TRUE,Drawings and Prints,1967,Drawing,"Design for Bedroom Doors, Hôtel de Jagan",NA,NA,NA,NA,NA,Artist|Artist,NA,Jules-Edmond-Charles Lachaise|Eugène-Pierre Gourdet,"French, died 1897|French, Paris 1820–1889",NA,"Lachaise, Jules-Edmond-Charles|Gourdet, Eugène-Pierre",French|French,1897      |1820,1897      |1889,|,second half 19th century,1850,1900,"Pen and black ink, watercolor",12 13/16 x 6 15/16 in.  (32.5 x 17.6 cm),"Dodge Fund, 1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA
76696,824803,FALSE,Drawings and Prints,1963,Print,Paper cover for Callahan Hall of Fame Baseball cards (W576),NA,NA,NA,NA,NA,Publisher,NA,"B.E. Callahan, Publisher",NA,NA,"B.E. Callahan, Publisher",NA,1930,1960,NA,1950,1950,1950,Printing on paper,Sheet: 1 3/4 × 2 7/16 in. (4.5 × 6.2 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Ephemera,NA
24615,96340,FALSE,Costume Institute,2003,Dress,Dress,French,NA,NA,NA,NA,Design House|Designer,NA,House of Dior|John Galliano,"French, founded 1947|British, born Gibraltar, 1960",NA,"Dior, House of|Galliano John",French|British,1947      |1960,9999      |2060,|,spring/summer 2003,2003,2003,"silk, leather",NA,"Gift of Christian Dior Couture, 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10318,218173,TRUE,European Sculpture and Decorative Arts,1909,Piece,Piece,"Flemish, Brussels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,late 18th century,1785,1799,Applied,"L. 7 1/2 x W. 7 inches
19.1 x 17.8 cm","Purchase by subscription, 1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Textiles-Laces,NA
27059,13919,FALSE,The American Wing,1911,Ribbon,Ribbon,American,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800–1900,1800,1900,Silk trimming,45 x 3 in. (114.3 x 7.6 cm),"Bequest of Maria P. James, 1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Textiles,NA
15859,675556,FALSE,Photographs,1968,Album; Artist's book,"Tithe Barn, Great Cokkeswell, Interior",NA,NA,NA,NA,NA,Artist|Artist|Artist|Artist|Author|Correspondent|Correspondent,Bookplate designed by|Bookplate designed by,Frederick H. Evans|Unknown|Aubrey Vincent Beardsley|Frederick Colin Tilney|Ernest Radford|Theodore Watts-Dunton|Sir Sydney Cockerell,"British, London 1853–1943 London|British|British, Brighton, Sussex 1872–1898 Menton|British, 1870–1951|British, active late 19th century|British, 1832–1914|British, 1910–1957",NA,"Evans, Frederick Henry|Unknown|Beardsley, Aubrey Vincent|Tilney, Frederick Colin|Radford, Ernest|Watts-Dunton, Theodore|Cockerell Sydney Sir",British|British|British|British|British,1853      |1872      |1870      |1850      |1832      |1910,1943      |1898      |1951      |1950      |1914      |1957,||||||,1896,1896,1896,Platinum print,NA,"David Hunter McAlpin Fund, 1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albums,NA
15738,276966,FALSE,Photographs,1994,Negative,"[Two 35mm Film Frames: Picket Line on Waterfront, New York City]",NA,NA,NA,NA,NA,Artist,NA,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",NA,"Evans, Walker",American,1903,1975,NA,1933–34,1933,1934,Film negative,35mm,"Walker Evans Archive, 1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negatives,"© Walker Evans Archive, The Metropolitan Museum of Art"
47991,504565,FALSE,Musical Instruments,1995,Siku (arca),Siku (arca),Bolivian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20th century,1900,1999,Reed,L.: 68 cm (26-3/4 in.); W.: 11.7 (4-5/8 in.); D.: 3.9 cm (1-1/2 in.),"Gift of Anabelle P. and Alberto C. Mariaca, 1995",NA,Italaque,NA,NA,Bolivia,NA,NA,NA,NA,NA,NA,Aerophone-Blow Hole-panpipe,NA
28955,386622,TRUE,Drawings and Prints,1959,Drawing ; Ornament and Architecture,Cabinet Design with a Central Urn Ornament,NA,NA,NA,NA,NA,Artist,NA,"Anonymous, British, 19th century",NA,NA,"Anonymous, British, 19th century",British,1800,1900,NA,19th century,1800,1900,Graphite and scratching on grey ground,sheet: 4 15/16 x 4 1/8 in. (12.5 x 10.4 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings|Ornament & Architecture,NA
73629,834261,FALSE,Drawings and Prints,2019,Print,London Bridges,NA,NA,NA,NA,NA,Artist,NA,Christopher Richard Wynne Nevinson,"British, London 1889–1946 London",NA,"Nevinson, Christopher Richard Wynne",NA,1889,1946,NA,ca. 1920,1915,1925,Drypoint,"Sheet: 13 1/2 × 18 1/4 in. (34.3 × 46.4 cm)
Image: 10 in. × 13 3/4 in. (25.4 × 34.9 cm)","Purchase, Leslie and Johanna Garfield Gift, Lila Acheson Wallace, Charles and Jessie Price, and David T Schiff Gifts, The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, Dolores Valvidia Hurlburt Bequest, Peco Foundation and Friends of Drawings and Prints Gifts, and funds from various donors, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
46258,121225,FALSE,Costume Institute,2005,Gloves,Gloves,French,NA,NA,NA,NA,Designer,NA,Jean Paul Gaultier,"French, born 1952",NA,Gaultier Jean Paul,French,1952,2052,NA,1986,1986,1986,"a,b) cotton, synthetic",NA,"Anonymous Gift, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65520,423802,FALSE,Drawings and Prints,1970,Print,New York,NA,NA,NA,NA,NA,Engraver|Publisher|Artist,Engraved by|After,James Archer|Samuel Walker|J. A. Davis,"American, active 1835–60|Boston|American, mid 19th century",NA,"Archer, James|Walker, Samuel|Davis, J. A.",American|American|American,1800      |1830      |1800,1860      |1870      |1900,||,mid-19th century,1830,1850,Hand colored engraving,"Image: 5 1/4 × 7 13/16 in. (13.3 × 19.9 cm)
Sheet: 8 3/4 × 11 1/8 in. (22.3 × 28.2 cm)","Gift of WIlliam Keighley, 1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
85786,693229,TRUE,Greek and Roman Art,2011,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,second quarter of the 5th century B.C.,-500,-450,Terracotta,NA,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vases,NA
74353,550138,TRUE,Egyptian Art,1917,Stick,Stick,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 1981–1550 B.C.,-1981,-1981,Wood,L. 154.5 cm (60 13/16 in.),"Rogers Fund, 1917",From|Said to be from,NA,|,NA,Egypt,"Upper Egypt, Thebes",NA,NA,NA,NA,NA,NA,NA
83544,245190,TRUE,Greek and Roman Art,1881,"Bowl, ribbed",Glass ribbed bowl,Roman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st half of 1st century A.D.,1,50,Glass,H. 2 13/16 in. (7.1 cm); diameter  6 5/8 in. (16.8 cm),"Gift of Henry G. Marquand, 1881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glass,NA
14544,43202,TRUE,Asian Art,1913,Triple bead,NA,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Jade,H. 1 3/4 in. (4.4 cm); W. 1 3/16 in. (3 cm); D. 1/2 in. (1.3 cm),"Gift of Samuel T. Peters, 1913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jade,NA
29598,841564,TRUE,European Sculpture and Decorative Arts,1996,Side chair,Side chair (one of a set of fourteen),British,NA,NA,NA,NA,Maker|Designer,Supplied by,Thomas Chippendale|Robert Adam,"British, baptised Otley, West Yorkshire 1718–1779 London|British, Kirkcaldy, Scotland 1728–1792 London",NA,"Chippendale, Thomas|Adam, Robert",NA,1718      |1728,1779      |1792,|,ca. 1772,1767,1777,"Mahogany, covered in modern red morocco leather",Overall (each): 38 1/4 × 22 × 22 1/2 in. (97.2 × 55.9 × 57.2 cm),"Purchase, Lila Acheson Wallace and The Annenberg Foundation Gifts, Gift of Irwin Untermyer and Fletcher Fund, by exchange, Bruce Dayton Gift, and funds from various donors, 1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woodwork-Furniture,NA
88600,186110,TRUE,European Sculpture and Decorative Arts,1881,Bowl,Bowl,"Italian, Venice (Murano)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16th century,1500,1599,Glass,Overall: 7 1/4 × 13 1/2 in. (18.4 × 34.3 cm),"Gift of James Jackson Jarves, 1881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glass,NA
54376,485320,FALSE,Modern and Contemporary Art,1989,Painting,Standing Nude,NA,NA,NA,NA,NA,Artist,NA,Bernard Karfiol,"American (born Hungary), Budapest 1886–1952 Irvington-on-Hudson, New York",NA,"Karfiol, Bernard",American,1886,1952,NA,1923,1923,1923,Oil on canvas,65 1/2 × 30 in. (166.4 × 76.2 cm),"Gift of Bella Fishko, 1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paintings,NA
1435,740314,TRUE,Greek and Roman Art,2011,Pot fragment,Terracotta fragment of a pot; unglazed on the inside,"Greek, Attic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460–440 B.C.,-530,-300,Terracotta,NA,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vases,NA
76437,60514,TRUE,Asian Art,2001,Cauldron,商 青銅鼎|Tripod Cauldron (Ding),China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13th–12th century B.C.,-1299,-1200,Bronze,H. (to handles) 8 in. (20.3 cm); Diam. of rim 6 3/4 in. (17.1 cm),"Purchase, Bequest of Dorothy Graham Bennett, 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metalwork,NA
22803,782271,FALSE,Drawings and Prints,1963,Print; ephemera,"Henry rides on a wagon behind a truck, from the ""Little Henry"" (T78), issued with Tareyton Cigarettes by the R. J. Reynolds Tobacco Company",NA,NA,NA,NA,NA,Publisher|Artist,Issued by,R. J. Reynolds Tobacco Company|Carl Thomas Anderson,"American, Madison, Wisconsin 1865–1948",NA,"R. J. Reynolds Tobacco Company|Anderson, Carl Thomas",NA,1875      |1865,9999      |1948,|,1936,1936,1936,Commercial color lithograph,Sheet: 2 1/2 × 1 7/8 in. (6.3 × 4.7 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Ephemera,NA
15704,355020,FALSE,Drawings and Prints,1962,Book,A Mantel Book,NA,NA,NA,NA,NA,Author,NA,Paine Furniture Company,"Boston, Massachusetts",NA,Paine Furniture Company,American,1835,1935,NA,1895,1895,1895,Illustrations: wood engraving,8 1/4 x 7 3/16 in. (21 x 18.3 cm),"Gift of Lincoln Kirstein, 1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Books,NA
73847,361183,FALSE,Drawings and Prints,1920,Print,Lay Sister of the Order of St. Clare (Laica Soror Ord: Stae Clarae),NA,NA,NA,NA,NA,Artist,NA,Wenceslaus Hollar,"Bohemian, Prague 1607–1677 London",NA,"Hollar, Wenceslaus",Bohemian,1607,1677,NA,1663,1663,1663,Etching; first state of two,Sheet: 3 11/16 × 2 3/16 in. (9.3 × 5.5 cm),"Rogers Fund, 1920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
54069,443337,TRUE,Islamic Art,1889,Fragment,Textile Fragment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5th–6th century,400,599,"Wool, linen; plain weave, tapestry weave","H. 8 1/4 in. (21 cm)
W.  7 1/2 in. (19.1 cm)","Purchase by subscription, 1889",Made in,NA,NA,NA,Egypt,NA,NA,NA,NA,NA,NA,Textiles,NA
19090,253302,TRUE,Greek and Roman Art,1930,Vase fragment,Vase fragment,Aegean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 3000–2000 B.C.,-2999,-2000,Terracotta,Other: 1 9/16in. (3.9cm),"Anonymous Gift, 1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vases,NA
27910,404591,TRUE,Drawings and Prints,1963,"Baseball card, photograph","C. Frank Genins, Center Field, Sioux City Corn Huskers, from the Old Judge series (N172) for Old Judge Cigarettes",NA,NA,NA,NA,NA,Publisher,Issued by,Goodwin & Company,NA,NA,Goodwin & Company,NA,1850,1950,NA,1888–89,1888,1889,Albumen photograph,sheet: 2 11/16 x 1 3/8 in. (6.9 x 3.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs|Ephemera,NA
40996,546481,FALSE,Egyptian Art,1933,Scarab,Scarab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 1981–1640 B.C.,-1981,-1640,Obsidian,l. 1.3 cm (1/2 in),"Rogers Fund, 1933",From,NA,NA,NA,Egypt,Memphite Region,NA,NA,NA,NA,NA,|,NA
93067,843003,FALSE,Drawings and Prints,1963,Print,Cardinal from Lowney's Magic Pictures (V50),NA,NA,NA,NA,NA,Publisher,NA,Walter M. Lowney Company,NA,NA,Walter M. Lowney Company,NA,1883,2010,NA,ca. 1921–23,1920,1925,Commercial photolithograph,Sheet: 3 1/16 × 1 13/16 in. (7.7 × 4.6 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Ephemera,NA
90588,256208,TRUE,Greek and Roman Art,1995,Loutrophoros,Terracotta loutrophoros (ceremonial vase for water),"Greek, South Italian, Apulian",NA,NA,NA,NA,NA,Attributed to the,Metope Painter,NA,NA,Metope Painter,NA,NA,NA,NA,3rd quarter of the 4th century B.C.,-350,-325,Terracotta,32 3/4 in. (83.2 cm),"Purchase, The Bernard and Audrey Aronson Charitable Trust Gift, in memory of her beloved husband, Bernard Aronson, 1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vases,NA
75829,755838,TRUE,Greek and Roman Art,2011,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,third quarter of the 6th century B.C.,-600,-400,Terracotta,NA,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vases,NA
41974,376562,FALSE,Drawings and Prints,1923,Print,Master Philip Yorke [facimile],NA,NA,NA,NA,NA,Artist|Artist|Sitter,After|Portrait of,Francesco Bartolozzi|Sir Joshua Reynolds|Master Philip Yorke (later Viscount Royston),"Italian, Florence 1728–1815 Lisbon|British, Plympton 1723–1792 London|British, 1784–1808",NA,"Bartolozzi, Francesco|Reynolds, Joshua, Sir|Yorke, Philip",Italian|British|British,1728      |1723      |1784,1815      |1792      |1808,||,1900–1923,1900,1923,Facsimilie reproduction,plate: 12 1/16 x 8 7/16 in. (30.6 x 21.4 cm),"Rogers Fund, transferred from the Library",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
3616,343297,FALSE,Drawings and Prints,2000,Print,Portrait of Charles Dickens,NA,NA,NA,NA,NA,Artist|Engraver|Sitter,After,William Powell Frith|H. Blackburn Hart|Charles Dickens,"British, Aldfield, Yorkshire 1819–1909 London|British, active 1920s|British, Portsmouth 1812–1870 Rochester",NA,"Frith, William Powell|Hart, H. Blackburn|Dickens, Charles",British|British,1819      |1900      |1812,1909      |1930      |1870,||,1920s,1900,1930,Color-printed mezzotint,14 x 11 1/16 in.  (35.6 x 28.1 cm),"Anonymous Gift, in memory of Jack R. Stewart, Esq., 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
90210,570902,FALSE,Egyptian Art,1910,"Amulet, face",Face Amulet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 2649–1640 B.C.,-2649,-1640,Carnelian,NA,"Gift of Helen Miller Gould, 1910",From,NA,NA,NA,Egypt,NA,NA,NA,NA,NA,NA,NA,NA
73558,472331,TRUE,The Cloisters,1925,Statuette,Standing Virgin and Child,French,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14th–15th century,1300,1499,"Stone, paint","H: 34 3/4"" (88.3 cm)","The Cloisters Collection, 1925",Made in,NA,NA,NA,France,Lorraine,NA,NA,NA,NA,NA,Sculpture-Stone,NA
64255,422578,TRUE,Drawings and Prints,1963,Photograph,"Anita, from the Actresses and Celebrities series (N60, Type 2) promoting Little Beauties Cigarettes for Allen & Ginter brand tobacco products",NA,NA,NA,NA,NA,Publisher,Issued by,Allen & Ginter,"American, Richmond, Virginia",NA,Allen & Ginter,American,NA,NA,NA,1887,1887,1887,Albumen photograph,Sheet: 2 3/8 × 1 1/2 in. (6 × 3.8 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs|Ephemera,NA
18246,339043,FALSE,Drawings and Prints,1957,Print; Poster,The Chap-Book: The Twins,NA,NA,NA,NA,NA,Artist|Publisher,NA,William Henry Bradley|Stone and Kimball,"American, Boston, Massachusetts 1868–1962 La Mesa, California|American, 1893–1897",NA,"Bradley, William Henry|Stone and Kimball",American,1868      |1893,1962      |1897,|,1894,1894,1894,Lithograph,"Sheet: 20 × 14 in. (50.8 × 35.6 cm)
Image: 19 in. × 13 1/16 in. (48.3 × 33.1 cm)","Museum Accession, transferred from the Library",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Posters,NA
35540,752408,TRUE,Drawings and Prints,1946,Print,Miraculous fountain,NA,NA,NA,NA,NA,Artist|Artist,?|?,Manuel Manilla|José Guadalupe Posada,"Mexican, Mexico City ca. 1830–1895 Mexico City|Mexican, 1851–1913",NA,"Manilla, Manuel|Posada, José Guadalupe",NA,1830      |1851,1895      |1913,|,ca 1890–1910,1890,1910,Metal plate engraving,Sheet: 2 3/4 × 4 1/2 in. (7 × 11.5 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
13393,362061,TRUE,Drawings and Prints,1966,Drawing,"Design for a Compote Dish, a Server and an Urn",NA,NA,NA,NA,NA,Artist,NA,"Anonymous, French, 19th century",NA,NA,"Anonymous, French, 19th century",French,1800,1900,NA,19th century,1800,1899,Pen and brown ink,image: 6 5/8 x 8 7/8 in. (16.9 x 22.6 cm),"Rogers Fund, 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA
93712,459620,TRUE,Robert Lehman Collection,1975,Drawing,Figure Studies,NA,NA,NA,NA,NA,Artist,NA,Francesco Guardi,"Italian, Venice 1712–1793 Venice",NA,"Guardi, Francesco",Italian,1712,1793,NA,ca. 1765–70,1762,1773,"Pen and brown ink, light and dark brown and grayish brown wash",6 9/16 x 10 1/4 in.  (16.7 x 26 cm),"Robert Lehman Collection, 1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA
78128,744348,FALSE,Drawings and Prints,2016,Print,"Still-Life: Cherries, Apples, Pears (Lithograph #43)",NA,NA,NA,NA,NA,Artist,NA,William Samuel Schwartz,"American, Smorgon, Belarus 1896–1977 Chicago",NA,"Schwartz, William Samuel",NA,1896,1977,NA,NA,1929,1940,Lithograph,Sheet: 20 × 18 in. (50.8 × 45.7 cm),"Gift of Mr. and Mrs. Stuart P. Feld, 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
66908,200236,TRUE,European Sculpture and Decorative Arts,1948,Sugar spoon,Sugar spoon,"French, Paris",NA,NA,NA,NA,Maker,NA,Jean Chabrol,"master 1709, recorded 1765, not recorded 1766",NA,CHABROL JEAN,NA,1679,1765,NA,1743–44,1743,1744,Silver,Length: 6 5/8 in. (16.8 cm),"Bequest of Catherine D. Wentworth, 1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metalwork-Silver,NA
16407,121199,FALSE,Costume Institute,2005,Coat,"""Paris""",French,NA,NA,NA,NA,Designer,NA,Paul Poiret,"French, Paris 1879–1944 Paris",NA,"Poiret, Paul",French,1879,1944,NA,1919,1919,1919,"silk, wool, metallic thread",NA,"Purchase, Friends of The Costume Institute Gifts, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73890,755832,TRUE,Greek and Roman Art,2011,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,third quarter of the 6th century B.C.,-600,-400,Terracotta,NA,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vases,NA
63588,31348,FALSE,Arms and Armor,1936,Kris with sheath,Kris with Sheath,Javanese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16th–19th century,1501,1900,"Steel, pelet wood (possibly kajoe), ivory, copper alloy",L. with sheath 18 13/16 in. (47.8 cm); L. without sheath 18 3/8 in. (46.7 cm); L. of blade 14 in. (35.5 cm); W. 3 5/16 in. (8.4 cm); Wt. 10.8 oz. (306.2 g); Wt. of sheath 4.5 oz. (127.6 g),"Bequest of George C. Stone, 1935",NA,Surakarta,NA,Jawa Tengah,NA,NA,NA,NA,NA,NA,NA,Krisses,NA
57977,626681,FALSE,Drawings and Prints,1941,Print,"Absalom Consoles Tamar, Who is Putting Ashes on her Head, from The Story of Tamar and Amnon, plate 5",NA,NA,NA,NA,NA,Artist|Artist,After,Philips Galle|Maarten van Heemskerck,"Netherlandish, Haarlem 1537–1612 Antwerp|Netherlandish, Heemskerck 1498–1574 Haarlem",NA,"Galle, Philips|Heemskerck, Maarten van",Netherlandish|Netherlandish,1537      |1498,1612      |1574,|,1559,1559,1559,Engraving; first state of three (New Hollstein),Sheet: 7 7/8 × 9 5/8 in. (20 × 24.5 cm),"Gift of Harry Shaw Newman, 1941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
26909,642676,FALSE,Drawings and Prints,1957,Print,"Mon cher monsieur...impossible de plaider votre affaire, from Les Gens de Justice, published in Le Charivari, August 6, 1846",NA,NA,NA,NA,NA,Artist|Printer|Publisher,NA,Honoré Daumier|Aubert et Cie|Aubert et Cie,"French, Marseilles 1808–1879 Valmondois",NA,"Daumier, Honoré|Aubert et Cie|Aubert et Cie",French|French|French,1808      |1829      |1829,1879      |1929      |1929,||,"August 6, 1846",1846,1846,Lithograph; second state of two (Delteil),"Sheet: 14 7/16 × 9 7/16 in. (36.7 × 23.9 cm)
Image: 8 7/8 × 7 11/16 in. (22.5 × 19.6 cm)","Bequest of Edwin De T. Bechtel, 1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
